Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,EndTime,DurationMs
31,2024-01-31 21:19:00,svchost.exe,[netsvcs] [WpnService],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,38,2024-01-31 21:19:00,64108
32,2024-01-31 21:19:00,svchost.exe,[NetworkService] [LanmanWorkstation],07/18/2037 06:45:20 +00:00,NetworkService,S-1-5-20,,10,39,2024-01-31 21:19:00,64108
33,2024-01-31 21:19:00,secinit.exe,,08/12/2050 20:00:50 +00:00,LocalSystem,S-1-5-18,,4,40,2024-01-31 21:17:56,186
34,2024-01-31 21:19:00,svchost.exe,[LocalSystemNetworkRestricted] [NcbService],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,41,2024-01-31 21:19:00,64108
35,2024-01-31 21:19:00,svchost.exe,[LocalServiceNoNetwork] [DPS],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,42,2024-01-31 21:19:00,64108
36,2024-01-31 21:19:00,Setup.exe,,03/26/2033 00:06:00 +00:00,LocalSystem,S-1-5-18,,4,43,2024-01-31 21:19:00,64108
37,2024-01-31 21:19:00,svchost.exe,[netsvcs] [ProfSvc],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,44,2024-01-31 21:19:00,64108
38,2024-01-31 21:19:00,svchost.exe,[wsappx] [AppXSvc],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,45,2024-01-31 21:19:00,64108
39,2024-01-31 21:19:00,svchost.exe,[netsvcs] [DsmSvc],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,46,2024-01-31 21:19:00,64108
40,2024-01-31 21:19:00,Registry,,01/01/1970 00:00:00 +00:00,LocalSystem,S-1-5-18,,4,47,2024-01-31 21:19:00,64108
41,2024-01-31 21:19:00,svchost.exe,[LocalServiceNoNetwork],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,48,2024-01-31 21:19:00,63922
42,2024-01-31 21:19:00,smss.exe,,02/09/2059 04:37:19 +00:00,LocalSystem,S-1-5-18,,4,49,2024-01-31 21:19:00,63922
43,2024-01-31 21:19:00,svchost.exe,[LocalServiceNoNetworkFirewall],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,50,2024-01-31 21:19:00,64108
44,2024-01-31 21:19:00,svchost.exe,[LocalServiceNetworkRestricted] [WinHttpAutoProxySvc],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,51,2024-01-31 21:19:00,64108
45,2024-01-31 21:19:00,svchost.exe,[netsvcs] [ShellHWDetection],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,52,2024-01-31 21:19:00,64108
46,2024-01-31 21:19:00,svchost.exe,[RPCSS],07/18/2037 06:45:20 +00:00,NetworkService,S-1-5-20,,10,53,2024-01-31 21:19:00,64108
47,2024-01-31 21:19:00,svchost.exe,[netsvcs] [LanmanServer],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,54,2024-01-31 21:19:00,64108
48,2024-01-31 21:19:00,svchost.exe,[utcsvc],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,55,2024-01-31 21:19:00,64108
49,2024-01-31 21:19:00,svchost.exe,[netsvcs] [UserManager],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,56,2024-01-31 21:19:00,64108
50,2024-01-31 21:19:00,services.exe,,02/20/2023 12:30:57 +00:00,LocalSystem,S-1-5-18,,4,57,2024-01-31 21:19:00,64108
51,2024-01-31 21:19:00,svchost.exe,[netsvcs] [NetSetupSvc],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,58,2024-01-31 21:19:00,63922
52,2024-01-31 21:19:00,svchost.exe,[LocalService] [WdiServiceHost],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,59,2024-01-31 21:19:00,64108
53,2024-01-31 21:19:00,System,,01/01/1970 00:00:00 +00:00,UnknownOrUserSid,,,2,60,2024-01-31 21:19:00,64108
54,2024-01-31 21:19:00,svchost.exe,[netsvcs] [Schedule],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,61,2024-01-31 21:19:00,64108
55,2024-01-31 21:19:00,conhost.exe,,12/12/2048 06:47:45 +00:00,LocalSystem,S-1-5-18,,4,62,2024-01-31 21:19:00,64108
56,2024-01-31 21:19:00,sppsvc.exe,,07/13/2100 02:38:29 +00:00,NetworkService,S-1-5-20,,10,63,2024-01-31 21:19:00,64108
57,2024-01-31 21:19:00,svchost.exe,[LocalSystemNetworkRestricted] [SysMain],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,64,2024-01-31 21:19:00,64108
58,2024-01-31 21:19:00,windeploy.exe,,10/18/2034 20:26:09 +00:00,LocalSystem,S-1-5-18,,4,65,2024-01-31 21:19:00,64108
59,2024-01-31 21:19:00,lsass.exe,,03/12/2068 02:27:14 +00:00,LocalSystem,S-1-5-18,,4,66,2024-01-31 21:19:00,64108
60,2024-01-31 21:19:00,taskkill.exe,,03/27/2043 06:08:21 +00:00,LocalSystem,S-1-5-18,,4,67,2024-01-31 21:18:00,3907
61,2024-01-31 21:19:00,svchost.exe,[DcomLaunch] [PlugPlay],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,68,2024-01-31 21:19:00,63922
62,2024-01-31 21:19:00,WmiPrvSE.exe,,01/15/2087 12:07:03 +00:00,LocalSystem,S-1-5-18,,4,69,2024-01-31 21:19:00,63922
63,2024-01-31 21:19:00,audiodg.exe,,10/10/1978 02:18:38 +00:00,LocalService,S-1-5-19,,6,70,2024-01-31 21:19:00,63922
64,2024-01-31 21:19:00,fontdrvhost.exe,,12/14/2003 04:05:46 +00:00,UnknownOrUserSid,S-1-5-96-0-0,,71,15,2024-01-31 21:19:00,63922
65,2024-01-31 21:19:00,MsMpEng.exe,,01/18/1993 16:54:13 +00:00,LocalSystem,S-1-5-18,,4,72,2024-01-31 21:19:00,63922
66,2024-01-31 21:19:00,svchost.exe,[LocalSystemNetworkRestricted] [PcaSvc],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,73,2024-01-31 21:19:00,63922
67,2024-01-31 21:19:00,NisSrv.exe,,04/04/2101 04:48:54 +00:00,LocalService,S-1-5-19,,6,74,2024-01-31 21:19:00,60015
68,2024-01-31 21:19:00,mofcomp.exe,,07/30/2002 20:44:33 +00:00,LocalSystem,S-1-5-18,,4,75,2024-01-31 21:18:00,3907
69,2024-01-31 21:19:00,WmiPrvSE.exe,,01/15/2087 12:07:03 +00:00,NetworkService,S-1-5-20,,10,69,2024-01-31 21:19:00,63922
70,2024-01-31 21:19:00,svchost.exe,[DcomLaunch] [DeviceInstall],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,76,2024-01-31 21:19:00,63922
71,2024-01-31 21:19:00,svchost.exe,,07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,77,2024-01-31 21:19:00,63922
72,2024-01-31 21:19:00,svchost.exe,[LocalService] [DispBrokerDesktopSvc],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,78,2024-01-31 21:19:00,63922
73,2024-01-31 21:19:00,svchost.exe,,07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,77,2024-01-31 21:18:00,3907
74,2024-01-31 21:19:00,svchost.exe,[wsappx] [ClipSVC],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,79,2024-01-31 21:19:00,60015
75,2024-01-31 21:19:00,MpCmdRun.exe,,05/06/2030 16:50:59 +00:00,LocalSystem,S-1-5-18,,4,80,2024-01-31 21:19:00,60015
76,2024-01-31 21:19:00,svchost.exe,[netsvcs] [wlidsvc],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,81,2024-01-31 21:19:00,60015
77,2024-01-31 21:19:00,MpCmdRun.exe,,05/06/2030 16:50:59 +00:00,NetworkService,S-1-5-20,,10,80,2024-01-31 21:19:00,60015
78,2024-01-31 21:19:00,svchost.exe,,07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,77,2024-01-31 21:19:00,60015
79,2024-01-31 21:20:00,svchost.exe,[utcsvc],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,55,2024-01-31 21:19:46,3614182
80,2024-01-31 21:20:00,svchost.exe,[LocalServiceNetworkRestricted] [Dhcp],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,34,2024-01-31 21:19:46,3494187
81,2024-01-31 21:20:00,FirstLogonAnim.exe,,06/30/2012 16:36:42 +00:00,LocalSystem,S-1-5-18,,4,177,2024-01-31 21:19:46,60343
82,2024-01-31 21:20:00,svchost.exe,[NetworkService] [LanmanWorkstation],07/18/2037 06:45:20 +00:00,NetworkService,S-1-5-20,,10,39,2024-01-31 21:19:46,3614182
83,2024-01-31 21:20:00,svchost.exe,[RPCSS],07/18/2037 06:45:20 +00:00,NetworkService,S-1-5-20,,10,53,2024-01-31 21:19:46,3614182
84,2024-01-31 21:20:00,Utilman.exe,,02/01/1972 02:07:17 +00:00,LocalSystem,S-1-5-18,,4,178,2024-01-31 21:19:46,952
85,2024-01-31 21:20:00,svchost.exe,[LocalSystemNetworkRestricted] [TrkWks],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,28,2024-01-31 21:19:46,3614182
86,2024-01-31 21:20:00,svchost.exe,[NetworkService] [NlaSvc],07/18/2037 06:45:20 +00:00,NetworkService,S-1-5-20,,10,32,2024-01-31 21:19:46,3614182
87,2024-01-31 21:20:00,conhost.exe,,12/12/2048 06:47:45 +00:00,LocalSystem,S-1-5-18,,4,62,2024-01-31 12:35:00,133248
88,2024-01-31 21:20:00,svchost.exe,[LocalServiceNetworkRestricted],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,13,2024-01-31 21:19:46,1514183
89,2024-01-31 21:20:00,svchost.exe,[netsvcs] [Schedule],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,61,2024-01-31 21:19:46,3614182
90,2024-01-31 21:20:00,FirstLogonAnim.exe,,06/30/2012 16:36:42 +00:00,LocalSystem,S-1-5-18,,4,177,2024-01-31 21:19:46,74202
91,2024-01-31 21:20:00,dllhost.exe,,06/11/2051 20:24:12 +00:00,NetworkService,S-1-5-20,,10,179,2024-01-31 12:21:00,59391
92,2024-01-31 21:20:00,svchost.exe,[netsvcs] [ShellHWDetection],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,52,2024-01-31 21:19:46,3614182
93,2024-01-31 21:20:00,svchost.exe,[LocalServiceNoNetwork] [DPS],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,42,2024-01-31 21:19:46,3614182
94,2024-01-31 21:20:00,svchost.exe,[netsvcs] [SENS],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,31,2024-01-31 21:19:46,3614182
95,2024-01-31 21:20:00,svchost.exe,[LocalSystemNetworkRestricted] [WPDBusEnum],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,33,2024-01-31 21:19:46,134180
96,2024-01-31 21:20:00,svchost.exe,[LocalService] [FontCache],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,8,2024-01-31 21:19:46,3614182
97,2024-01-31 21:20:00,msoobe.exe,,02/17/1989 17:08:38 +00:00,LocalSystem,S-1-5-18,,4,180,2024-01-31 21:19:46,254226
98,2024-01-31 21:20:00,sihost.exe,,11/06/2084 15:52:55 +00:00,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1000,,161,181,2024-01-31 13:20:00,3193199
99,2024-01-31 21:20:00,svchost.exe,[netsvcs] [DsmSvc],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,46,2024-01-31 21:19:46,3614182
100,2024-01-31 21:20:00,csrss.exe,,05/26/2022 16:22:23 +00:00,LocalSystem,S-1-5-18,,4,11,2024-01-31 21:19:46,3614182
101,2024-01-31 21:20:00,svchost.exe,[NetworkService] [CryptSvc],07/18/2037 06:45:20 +00:00,NetworkService,S-1-5-20,,10,14,2024-01-31 21:19:46,3074183
102,2024-01-31 21:20:00,svchost.exe,[LocalService] [netprofm],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,182,2024-01-31 21:19:46,3614182
103,2024-01-31 21:20:00,svchost.exe,[LocalServiceNetworkRestricted] [WinHttpAutoProxySvc],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,51,2024-01-31 21:19:46,3614182
104,2024-01-31 21:20:00,svchost.exe,[DcomLaunch] [DeviceInstall],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,76,2024-01-31 21:19:46,854237
105,2024-01-31 21:20:00,svchost.exe,,07/18/2037 06:45:20 +00:00,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1000,,161,77,2024-01-31 12:22:00,73837
106,2024-01-31 21:20:00,sppsvc.exe,,07/13/2100 02:38:29 +00:00,NetworkService,S-1-5-20,,10,63,2024-01-31 21:19:46,314223
107,2024-01-31 21:20:00,svchost.exe,[netsvcs] [gpsvc],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,7,2024-01-31 21:19:46,614182
108,2024-01-31 21:20:00,wuauclt.exe,,02/03/2019 17:24:54 +00:00,LocalSystem,S-1-5-18,,4,183,2024-01-31 12:23:00,119996
109,2024-01-31 21:20:00,svchost.exe,[LocalService] [nsi],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,22,2024-01-31 21:19:46,3554188
110,2024-01-31 21:20:00,svchost.exe,[DcomLaunch],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,23,2024-01-31 21:19:46,3614182
111,2024-01-31 21:20:00,svchost.exe,[NetworkService] [Dnscache],07/18/2037 06:45:20 +00:00,NetworkService,S-1-5-20,,10,9,2024-01-31 21:19:46,3614182
112,2024-01-31 21:20:00,System,,01/01/1970 00:00:00 +00:00,UnknownOrUserSid,,,2,60,2024-01-31 21:19:46,3614182
113,2024-01-31 21:20:00,svchost.exe,,07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,77,2024-01-31 21:19:46,254206
114,2024-01-31 21:20:00,svchost.exe,[LocalServiceNoNetwork],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,48,2024-01-31 21:19:46,3614182
115,2024-01-31 21:20:00,svchost.exe,[LocalSystemNetworkRestricted] [NcbService],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,41,2024-01-31 21:19:46,3614182
116,2024-01-31 21:20:00,svchost.exe,[LocalServiceNoNetworkFirewall],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,50,2024-01-31 21:19:46,3614182
117,2024-01-31 21:20:00,dllhost.exe,,06/11/2051 20:24:12 +00:00,LocalSystem,S-1-5-18,,4,179,2024-01-31 21:19:46,194198
118,2024-01-31 21:20:00,MsMpEng.exe,,01/18/1993 16:54:13 +00:00,LocalSystem,S-1-5-18,,4,72,2024-01-31 21:19:46,3614182
119,2024-01-31 21:20:00,svchost.exe,[LocalServiceNetworkRestricted] [TimeBrokerSvc],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,24,2024-01-31 21:19:46,3614182
120,2024-01-31 21:20:00,DeviceCensus.exe,,04/21/1988 13:15:01 +00:00,LocalSystem,S-1-5-18,,4,184,2024-01-31 12:21:00,73250
121,2024-01-31 21:20:00,svchost.exe,[netsvcs] [ProfSvc],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,44,2024-01-31 21:19:46,3614182
122,2024-01-31 21:20:00,svchost.exe,[LocalServiceNetworkRestricted] [EventLog],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,5,2024-01-31 21:19:46,3614182
123,2024-01-31 21:20:00,svchost.exe,[netsvcs] [UserManager],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,56,2024-01-31 21:19:46,3614182
124,2024-01-31 21:20:00,svchost.exe,[LocalService] [W32Time],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,185,2024-01-31 21:19:46,14811
125,2024-01-31 21:20:00,svchost.exe,[LocalSystemNetworkRestricted] [WdiSystemHost],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,3,2024-01-31 21:19:46,2414195
126,2024-01-31 21:20:00,lsass.exe,,03/12/2068 02:27:14 +00:00,LocalSystem,S-1-5-18,,4,66,2024-01-31 21:19:46,3614182
127,2024-01-31 21:20:00,fontdrvhost.exe,,12/14/2003 04:05:46 +00:00,UnknownOrUserSid,S-1-5-96-0-1,,16,15,2024-01-31 21:19:46,434181
128,2024-01-31 21:20:00,svchost.exe,[LocalSystemNetworkRestricted] [AudioEndpointBuilder],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,37,2024-01-31 21:19:46,1034217
129,2024-01-31 21:20:00,winlogon.exe,,10/24/2077 01:42:54 +00:00,LocalSystem,S-1-5-18,,4,35,2024-01-31 21:19:46,434178
130,2024-01-31 21:20:00,svchost.exe,[netsvcs] [LanmanServer],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,54,2024-01-31 21:19:46,3614182
131,2024-01-31 21:20:00,IsrDpc,,01/01/1970 00:00:00 +00:00,UnknownOrUserSid,,,2,27,2024-01-31 21:19:46,3614182
132,2024-01-31 21:20:00,Registry,,01/01/1970 00:00:00 +00:00,LocalSystem,S-1-5-18,,4,47,2024-01-31 21:19:46,2714206
133,2024-01-31 21:20:00,MicrosoftEdge_X64_0.0.0.0.exe,,03/03/2022 18:01:16 +00:00,LocalSystem,S-1-5-18,,4,186,2024-01-31 12:23:00,60018
134,2024-01-31 21:20:00,svchost.exe,[LocalSystemNetworkRestricted] [SysMain],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,64,2024-01-31 21:19:46,3614182
135,2024-01-31 21:20:00,svchost.exe,[DcomLaunch] [LSM],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,20,2024-01-31 21:19:46,3614182
136,2024-01-31 21:20:00,svchost.exe,[LocalServiceNetworkRestricted] [lmhosts],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,18,2024-01-31 21:19:46,3614182
137,2024-01-31 21:20:00,svchost.exe,[netsvcs] [Winmgmt],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,29,2024-01-31 21:19:46,3614182
138,2024-01-31 21:20:00,services.exe,,02/20/2023 12:30:57 +00:00,LocalSystem,S-1-5-18,,4,57,2024-01-31 21:19:46,3614182
139,2024-01-31 21:20:00,svchost.exe,[NetSvcs] [iphlpsvc],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,187,2024-01-31 21:19:46,3614182
140,2024-01-31 21:20:00,svchost.exe,[LocalService] [EventSystem],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,12,2024-01-31 21:19:46,3614182
141,2024-01-31 21:20:00,svchost.exe,[netsvcs] [WpnService],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,38,2024-01-31 21:19:46,3614182
142,2024-01-31 21:20:00,svchost.exe,[LocalService] [WdiServiceHost],07/18/2037 06:45:20 +00:00,LocalService,S-1-5-19,,6,59,2024-01-31 21:19:46,3614182
143,2024-01-31 21:20:00,winlogon.exe,,10/24/2077 01:42:54 +00:00,LocalSystem,S-1-5-18,,4,35,2024-01-31 21:19:46,952
144,2024-01-31 21:20:00,svchost.exe,[AppReadiness] [AppReadiness],07/18/2037 06:45:20 +00:00,LocalSystem,S-1-5-18,,4,188,2024-01-31 21:19:46,3614182
