Id,Timestamp,UserId,AppId,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,StartTime,EndTime,Flags,Duration
28,2024-02-11 03:53:00,344,1107,C104,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,2024-02-11 03:48:00,2024-02-11 03:50:00,0,00:02:00.0004626
29,2024-02-11 03:53:00,344,1108,C119,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,2024-02-11 03:47:00,2024-02-11 03:49:00,0,00:01:59.9994070
30,2024-02-11 03:53:00,344,1109,C102,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,2024-02-11 03:47:00,2024-02-11 03:50:00,0,00:03:00.0028371
31,2024-02-11 03:53:00,344,1110,C115,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,2024-02-11 03:47:00,2024-02-11 03:49:00,0,00:01:59.9994070
32,2024-02-11 03:53:00,344,173,U,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,2024-02-04 19:04:00,2024-02-11 03:53:00,0,6.08:49:00.0241141
33,2024-02-11 03:53:00,344,1111,C107,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,2024-02-11 03:47:00,2024-02-11 03:49:00,0,00:01:59.9994070
34,2024-02-11 03:53:00,344,174,C101,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,2024-02-04 19:04:00,2024-02-11 03:51:00,0,6.08:47:00.0024034
35,2024-02-11 03:53:00,344,1112,C105,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,2024-02-11 03:47:00,2024-02-11 03:50:00,0,00:03:00.0028371
36,2024-02-11 03:53:00,344,175,C125,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,2024-02-04 19:04:00,2024-02-11 03:49:00,0,6.08:45:00.0105412
37,2024-02-11 03:53:00,344,1113,C114,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,2024-02-11 03:47:00,2024-02-11 03:53:00,0,00:06:00.0129799
38,2024-02-11 03:53:00,344,176,C127,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,2024-02-04 19:04:00,2024-02-11 03:49:00,0,6.08:45:00.0105412
39,2024-02-11 03:53:00,344,345,C100,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,2024-02-04 19:04:00,2024-02-11 03:46:00,0,6.08:42:00.0133019
