Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,BytesReceived,BytesSent,InterfaceLuid,InterfaceType,L2ProfileFlags,L2ProfileId,ProfileName
30,2024-01-31 21:20:00,CryptSvc,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1000,,161,172,8652,574,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
88,2024-02-02 16:16:00,Microsoft.Windows.Search_1.14.0.19041_neutral_neutral_cw5n1h2txyewy,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,407,562607,33476,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
89,2024-02-02 16:16:00,WpnUserService_39fc2,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,621,18591,2317,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
90,2024-02-02 16:16:00,DsmSvc,,,LocalSystem,S-1-5-18,,4,573,9760,37018,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
91,2024-02-02 16:16:00,DiagTrack,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,162,46979,24777,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
92,2024-02-02 16:16:00,LicenseManager,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,158,6849,3242,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
93,2024-02-02 16:16:00,Dnscache,,,NetworkService,S-1-5-20,,10,86,9533,3803,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
94,2024-02-02 16:16:00,LicenseManager,,,NetworkService,S-1-5-20,,10,158,6837,3242,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
95,2024-02-02 16:16:00,,,,UnknownOrUserSid,,,2,1,6018303,315558,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
96,2024-02-02 16:16:00,Spooler,,,LocalSystem,S-1-5-18,,4,170,0,0,0,0,0,0,
97,2024-02-02 16:16:00,DoSvc,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,167,4984006,53717,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
98,2024-02-02 16:16:00,windows.immersivecontrolpanel_10.0.2.1000_neutral_neutral_cw5n1h2txyewy,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,417,16093,5265,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
99,2024-02-02 16:16:00,\device\harddiskvolume2\program files (x86)\microsoft\edgewebview\application\120.0.2210.144\msedgewebview2.exe,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,622,114510,21213,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
100,2024-02-02 16:16:00,\device\harddiskvolume2\windows\system32\smartscreen.exe,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,581,8713,2624,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
101,2024-02-02 16:16:00,WpnService,,,LocalSystem,S-1-5-18,,4,159,11282,5316,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
102,2024-02-02 16:16:00,\device\harddiskvolume2\users\wocsa\appdata\local\microsoft\onedrive\onedrive.exe,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,575,25539,4172,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
103,2024-02-02 16:16:00,BITS,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,165,95800,4128,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
104,2024-02-02 16:16:00,DiagTrack,,,LocalSystem,S-1-5-18,,4,162,49431,46255,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
105,2024-02-02 16:16:00,wuauserv,,,LocalSystem,S-1-5-18,,4,164,42541,55352,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
106,2024-02-02 16:16:00,CryptSvc,,,LocalSystem,S-1-5-18,,4,172,502,552,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
31,2024-02-03 00:08:00,Dnscache,,,NetworkService,S-1-5-20,,10,86,47037,18673,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
32,2024-02-03 00:08:00,,,,UnknownOrUserSid,,,2,1,1833963155,8359489,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
33,2024-02-03 00:08:00,wuauserv,,,LocalSystem,S-1-5-18,,4,164,2138953,199719,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
34,2024-02-03 00:08:00,Microsoft.Windows.Search_1.14.0.19041_neutral_neutral_cw5n1h2txyewy,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,407,3641310,93503,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
35,2024-02-03 00:08:00,DoSvc,,,NetworkService,S-1-5-20,,10,167,144967488,484421,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
36,2024-02-03 00:08:00,\device\harddiskvolume2\windows\system32\sihclient.exe,,,LocalSystem,S-1-5-18,,4,572,59432,3098,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
37,2024-02-03 00:08:00,wlidsvc,,,NetworkService,S-1-5-20,,10,155,39695,13216,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
38,2024-02-03 00:08:00,DsmSvc,,,LocalSystem,S-1-5-18,,4,573,11000,41850,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
39,2024-02-03 00:08:00,DiagTrack,,,LocalSystem,S-1-5-18,,4,162,47020,25785,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
40,2024-02-03 00:08:00,DiagTrack,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,162,830405,284324,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
41,2024-02-03 00:08:00,LicenseManager,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,158,65021,25020,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
42,2024-02-03 00:08:00,wlidsvc,,,LocalSystem,S-1-5-18,,4,155,142128,54761,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
43,2024-02-03 00:08:00,LicenseManager,,,NetworkService,S-1-5-20,,10,158,6836,3242,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
44,2024-02-03 00:08:00,wlidsvc,,,LocalService,S-1-5-19,,6,155,17622,6045,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
45,2024-02-03 00:08:00,WinDefend,,,LocalSystem,S-1-5-18,,4,574,4670,2412,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
46,2024-02-03 00:08:00,Spooler,,,LocalSystem,S-1-5-18,,4,170,0,0,0,0,0,0,
47,2024-02-03 00:08:00,wlidsvc,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,155,56226,23304,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
48,2024-02-03 00:08:00,BITS,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,165,252083886,655954,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
49,2024-02-03 00:08:00,DoSvc,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,167,1408708429,5270407,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
50,2024-02-03 00:08:00,wuauserv,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,164,5643179,692423,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
51,2024-02-03 00:08:00,WpnService,,,LocalSystem,S-1-5-18,,4,159,11633,5618,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
52,2024-02-03 00:08:00,\device\harddiskvolume2\users\wocsa\appdata\local\microsoft\onedrive\onedrive.exe,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,575,248606,17578,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
53,2024-02-03 00:08:00,windows.immersivecontrolpanel_10.0.2.1000_neutral_neutral_cw5n1h2txyewy,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,417,17485,5599,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
54,2024-02-03 00:08:00,\device\harddiskvolume2\users\wocsa\appdata\local\microsoft\edgeupdate\microsoftedgeupdate.exe,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,576,48111,16059,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
55,2024-02-03 00:08:00,\device\harddiskvolume2\users\wocsa\appdata\local\microsoft\onedrive\24.010.0114.0001\microsoft.sharepoint.exe,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,577,7596,3026,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
56,2024-02-03 00:08:00,\device\harddiskvolume2\users\wocsa\appdata\local\microsoft\onedrive\onedrivestandaloneupdater.exe,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,578,16213,2178,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
57,2024-02-03 00:08:00,\device\harddiskvolume2\users\wocsa\appdata\local\microsoft\onedrive\update\onedrivesetup.exe,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,579,8393,1499,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
58,2024-02-03 00:08:00,System\IPv6 Control Message,,,LocalSystem,S-1-5-18,,4,83,0,180,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
59,2024-02-03 00:08:00,\device\harddiskvolume2\windows\system32\taskhostw.exe,,,LocalSystem,S-1-5-18,,4,166,66451,20228,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
60,2024-02-03 00:08:00,\device\harddiskvolume2\windows\system32\mousocoreworker.exe,,,LocalSystem,S-1-5-18,,4,169,15292,6129,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
61,2024-02-03 00:08:00,CryptSvc,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,172,9158,1126,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
62,2024-02-03 00:08:00,UsoSvc,,,LocalSystem,S-1-5-18,,4,580,8578,3287,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
63,2024-02-03 00:08:00,\device\harddiskvolume2\windows\system32\smartscreen.exe,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,581,655683,30607,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
64,2024-02-03 00:08:00,microsoft.windowscommunicationsapps_16005.11629.20316.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,410,52726,5872,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
65,2024-02-03 00:08:00,InstallService,,,LocalSystem,S-1-5-18,,4,582,3379782,114820,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
66,2024-02-03 00:08:00,Microsoft.MicrosoftOfficeHub_18.1903.1152.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,435,939627,21768,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
67,2024-02-03 00:08:00,Microsoft.Windows.StartMenuExperienceHost_10.0.19041.1_neutral_neutral_cw5n1h2txyewy,,,UnknownOrUserSid,S-1-5-21-2721248628-1569757453-3149710431-1001,,344,405,78232,14326,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
68,2024-02-03 00:08:00,\device\harddiskvolume2\windows\system32\compattelrunner.exe,,,LocalSystem,S-1-5-18,,4,583,2927981,13210,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
